#Departments
#Date, Time, T1_used, T1_total,T3_used, T3_total,T3B_used, T3B_total,T4_used, T4_total
#SJ
07-24-2015,14:08,755256.9856,3741708.1776,1133546.5824,3741708.1776,226016.2912,3741708.1776,125120.0,3741708.1776

#pg
07-24-2015,14:08,533071.968,3565148.1888,953881.5696,3565148.1888,50364.872,3565148.1888,151835.0,3565148.1888

#nl
07-24-2015,14:08,15566.0,33094.0,7615.0,33094.0,0.0,33094.0,0.0,33094.0

#uk
07-24-2015,14:08,48806.0,112692.0,43195.0,112692.0,0.0,112692.0,0.0,112692.0

#jp
07-24-2015,14:08,0.0,27560.0,24489.0,27560.0,0.0,27560.0,0.0,27560.0

#hk
07-24-2015,14:08,0.0,26816.0,17181.0,26816.0,0.0,26816.0,0.0,26816.0

#to
07-24-2015,14:08,93866.0,226705.0,99857.0,226705.0,0.0,226705.0,0.0,226705.0

#at
07-24-2015,14:08,0.0,5959.0,3326.0,5959.0,0.0,5959.0,0.0,5959.0




#Sites
#Date, Time, T1_used, T1_total,T3_used, T3_total,T3B_used, T3B_total,T4_used, T4_total

#ICE
07-24-2015,14:08,254080.0,508779.0,154088.0,508779.0,0.0,508779.0,0.0,508779.0

#SWIP
07-24-2015,14:08,170510.0,411780.0,165425.0,411780.0,0.0,411780.0,0.0,411780.0

#IT
07-24-2015,14:08,143059.0,600770.0,243434.0,600770.0,0.0,600770.0,0.0,600770.0

#WWOE
07-24-2015,14:08,27487.0,30514.0,0.0,30514.0,0.0,30514.0,0.0,30514.0

#Departments
#Date, Time, T1_used, T1_total,T3_used, T3_total,T3B_used, T3B_total,T4_used, T4_total
#SJ
07-24-2015,14:22,755256.9856,3741708.1776,1133546.5824,3741708.1776,226016.2912,3741708.1776,125120.0,3741708.1776

#pg
07-24-2015,14:22,533071.968,3565148.1888,953881.5696,3565148.1888,50364.872,3565148.1888,151835.0,3565148.1888

#nl
07-24-2015,14:22,15566.0,33094.0,7615.0,33094.0,0.0,33094.0,0.0,33094.0

#uk
07-24-2015,14:22,48806.0,112692.0,43195.0,112692.0,0.0,112692.0,0.0,112692.0

#jp
07-24-2015,14:22,0.0,27560.0,24489.0,27560.0,0.0,27560.0,0.0,27560.0

#hk
07-24-2015,14:22,0.0,26816.0,17181.0,26816.0,0.0,26816.0,0.0,26816.0

#to
07-24-2015,14:22,93866.0,226705.0,99857.0,226705.0,0.0,226705.0,0.0,226705.0

#at
07-24-2015,14:22,0.0,5959.0,3326.0,5959.0,0.0,5959.0,0.0,5959.0




#Sites
#Date, Time, T1_used, T1_total,T3_used, T3_total,T3B_used, T3B_total,T4_used, T4_total

#ICE
07-24-2015,14:22,254080.0,508779.0,154088.0,508779.0,0.0,508779.0,0.0,508779.0

#SWIP
07-24-2015,14:22,170510.0,411780.0,165425.0,411780.0,0.0,411780.0,0.0,411780.0

#IT
07-24-2015,14:22,143059.0,600770.0,243434.0,600770.0,0.0,600770.0,0.0,600770.0

#WWOE
07-24-2015,14:22,27487.0,30514.0,0.0,30514.0,0.0,30514.0,0.0,30514.0

#Departments
#Date, Time, T1_used, T1_total,T3_used, T3_total,T3B_used, T3B_total,T4_used, T4_total
#SJ
07-24-2015,14:23,755256.9856,3741708.1776,1133546.5824,3741708.1776,226016.2912,3741708.1776,125120.0,3741708.1776

#pg
07-24-2015,14:23,533071.968,3565148.1888,953881.5696,3565148.1888,50364.872,3565148.1888,151835.0,3565148.1888

#nl
07-24-2015,14:23,15566.0,33094.0,7615.0,33094.0,0.0,33094.0,0.0,33094.0

#uk
07-24-2015,14:23,48806.0,112692.0,43195.0,112692.0,0.0,112692.0,0.0,112692.0

#jp
07-24-2015,14:23,0.0,27560.0,24489.0,27560.0,0.0,27560.0,0.0,27560.0

#hk
07-24-2015,14:23,0.0,26816.0,17181.0,26816.0,0.0,26816.0,0.0,26816.0

#to
07-24-2015,14:23,93866.0,226705.0,99857.0,226705.0,0.0,226705.0,0.0,226705.0

#at
07-24-2015,14:23,0.0,5959.0,3326.0,5959.0,0.0,5959.0,0.0,5959.0




#Sites
#Date, Time, T1_used, T1_total,T3_used, T3_total,T3B_used, T3B_total,T4_used, T4_total

#ICE
07-24-2015,14:23,254080.0,508779.0,154088.0,508779.0,0.0,508779.0,0.0,508779.0

#SWIP
07-24-2015,14:23,170510.0,411780.0,165425.0,411780.0,0.0,411780.0,0.0,411780.0

#IT
07-24-2015,14:23,143059.0,600770.0,243434.0,600770.0,0.0,600770.0,0.0,600770.0

#WWOE
07-24-2015,14:23,27487.0,30514.0,0.0,30514.0,0.0,30514.0,0.0,30514.0

#Departments
#Date, Time, T1_used, T1_total,T3_used, T3_total,T3B_used, T3B_total,T4_used, T4_total
#SJ
07-24-2015,14:51,755256.9856,3741708.1776,1133546.5824,3741708.1776,226016.2912,3741708.1776,125120.0,3741708.1776

#pg
07-24-2015,14:51,533071.968,3565148.1888,953881.5696,3565148.1888,50364.872,3565148.1888,151835.0,3565148.1888

#nl
07-24-2015,14:51,15566.0,33094.0,7615.0,33094.0,0.0,33094.0,0.0,33094.0

#uk
07-24-2015,14:51,48806.0,112692.0,43195.0,112692.0,0.0,112692.0,0.0,112692.0

#jp
07-24-2015,14:51,0.0,27560.0,24489.0,27560.0,0.0,27560.0,0.0,27560.0

#hk
07-24-2015,14:51,0.0,26816.0,17181.0,26816.0,0.0,26816.0,0.0,26816.0

#to
07-24-2015,14:51,93866.0,226705.0,99857.0,226705.0,0.0,226705.0,0.0,226705.0

#at
07-24-2015,14:51,0.0,5959.0,3326.0,5959.0,0.0,5959.0,0.0,5959.0




#Sites
#Date, Time, T1_used, T1_total,T3_used, T3_total,T3B_used, T3B_total,T4_used, T4_total

#ICE
07-24-2015,14:51,254080.0,508779.0,154088.0,508779.0,0.0,508779.0,0.0,508779.0

#SWIP
07-24-2015,14:51,170510.0,411780.0,165425.0,411780.0,0.0,411780.0,0.0,411780.0

#IT
07-24-2015,14:51,143059.0,600770.0,243434.0,600770.0,0.0,600770.0,0.0,600770.0

#WWOE
07-24-2015,14:51,27487.0,30514.0,0.0,30514.0,0.0,30514.0,0.0,30514.0

#Departments
#Date, Time, T1_used, T1_total,T3_used, T3_total,T3B_used, T3B_total,T4_used, T4_total
#SJ
07-24-2015,14:51,755256.9856,3741708.1776,1133546.5824,3741708.1776,226016.2912,3741708.1776,125120.0,3741708.1776

#pg
07-24-2015,14:51,533071.968,3565148.1888,953881.5696,3565148.1888,50364.872,3565148.1888,151835.0,3565148.1888

#nl
07-24-2015,14:51,15566.0,33094.0,7615.0,33094.0,0.0,33094.0,0.0,33094.0

#uk
07-24-2015,14:51,48806.0,112692.0,43195.0,112692.0,0.0,112692.0,0.0,112692.0

#jp
07-24-2015,14:51,0.0,27560.0,24489.0,27560.0,0.0,27560.0,0.0,27560.0

#hk
07-24-2015,14:51,0.0,26816.0,17181.0,26816.0,0.0,26816.0,0.0,26816.0

#to
07-24-2015,14:51,93866.0,226705.0,99857.0,226705.0,0.0,226705.0,0.0,226705.0

#at
07-24-2015,14:51,0.0,5959.0,3326.0,5959.0,0.0,5959.0,0.0,5959.0




#Sites
#Date, Time, T1_used, T1_total,T3_used, T3_total,T3B_used, T3B_total,T4_used, T4_total

#ICE
07-24-2015,14:51,254080.0,508779.0,154088.0,508779.0,0.0,508779.0,0.0,508779.0

#SWIP
07-24-2015,14:51,170510.0,411780.0,165425.0,411780.0,0.0,411780.0,0.0,411780.0

#IT
07-24-2015,14:51,143059.0,600770.0,243434.0,600770.0,0.0,600770.0,0.0,600770.0

#WWOE
07-24-2015,14:51,27487.0,30514.0,0.0,30514.0,0.0,30514.0,0.0,30514.0

#Departments
#Date, Time, T1_used, T1_total,T3_used, T3_total,T3B_used, T3B_total,T4_used, T4_total
#SJ
07-24-2015,14:52,755256.9856,3741708.1776,1133546.5824,3741708.1776,226016.2912,3741708.1776,125120.0,3741708.1776

#pg
07-24-2015,14:52,533071.968,3565148.1888,953881.5696,3565148.1888,50364.872,3565148.1888,151835.0,3565148.1888

#nl
07-24-2015,14:52,15566.0,33094.0,7615.0,33094.0,0.0,33094.0,0.0,33094.0

#uk
07-24-2015,14:52,48806.0,112692.0,43195.0,112692.0,0.0,112692.0,0.0,112692.0

#jp
07-24-2015,14:52,0.0,27560.0,24489.0,27560.0,0.0,27560.0,0.0,27560.0

#hk
07-24-2015,14:52,0.0,26816.0,17181.0,26816.0,0.0,26816.0,0.0,26816.0

#to
07-24-2015,14:52,93866.0,226705.0,99857.0,226705.0,0.0,226705.0,0.0,226705.0

#at
07-24-2015,14:52,0.0,5959.0,3326.0,5959.0,0.0,5959.0,0.0,5959.0




#Sites
#Date, Time, T1_used, T1_total,T3_used, T3_total,T3B_used, T3B_total,T4_used, T4_total

#ICE
07-24-2015,14:52,254080.0,508779.0,154088.0,508779.0,0.0,508779.0,0.0,508779.0

#SWIP
07-24-2015,14:52,170510.0,411780.0,165425.0,411780.0,0.0,411780.0,0.0,411780.0

#IT
07-24-2015,14:52,143059.0,600770.0,243434.0,600770.0,0.0,600770.0,0.0,600770.0

#WWOE
07-24-2015,14:52,27487.0,30514.0,0.0,30514.0,0.0,30514.0,0.0,30514.0

#Departments
#Date, Time, T1_used, T1_total,T3_used, T3_total,T3B_used, T3B_total,T4_used, T4_total
#SJ
07-24-2015,14:52,755256.9856,3741708.1776,1133546.5824,3741708.1776,226016.2912,3741708.1776,125120.0,3741708.1776

#pg
07-24-2015,14:52,533071.968,3565148.1888,953881.5696,3565148.1888,50364.872,3565148.1888,151835.0,3565148.1888

#nl
07-24-2015,14:52,15566.0,33094.0,7615.0,33094.0,0.0,33094.0,0.0,33094.0

#uk
07-24-2015,14:52,48806.0,112692.0,43195.0,112692.0,0.0,112692.0,0.0,112692.0

#jp
07-24-2015,14:52,0.0,27560.0,24489.0,27560.0,0.0,27560.0,0.0,27560.0

#hk
07-24-2015,14:52,0.0,26816.0,17181.0,26816.0,0.0,26816.0,0.0,26816.0

#to
07-24-2015,14:52,93866.0,226705.0,99857.0,226705.0,0.0,226705.0,0.0,226705.0

#at
07-24-2015,14:52,0.0,5959.0,3326.0,5959.0,0.0,5959.0,0.0,5959.0




#Sites
#Date, Time, T1_used, T1_total,T3_used, T3_total,T3B_used, T3B_total,T4_used, T4_total

#ICE
07-24-2015,14:52,254080.0,508779.0,154088.0,508779.0,0.0,508779.0,0.0,508779.0

#SWIP
07-24-2015,14:52,170510.0,411780.0,165425.0,411780.0,0.0,411780.0,0.0,411780.0

#IT
07-24-2015,14:52,143059.0,600770.0,243434.0,600770.0,0.0,600770.0,0.0,600770.0

#WWOE
07-24-2015,14:52,27487.0,30514.0,0.0,30514.0,0.0,30514.0,0.0,30514.0

#Departments
#Date, Time, T1_used, T1_total,T3_used, T3_total,T3B_used, T3B_total,T4_used, T4_total
#SJ
07-24-2015,15:06,755256.9856,3741708.1776,1133546.5824,3741708.1776,226016.2912,3741708.1776,125120.0,3741708.1776

#pg
07-24-2015,15:06,533071.968,3565148.1888,953881.5696,3565148.1888,50364.872,3565148.1888,151835.0,3565148.1888

#nl
07-24-2015,15:06,15566.0,33094.0,7615.0,33094.0,0.0,33094.0,0.0,33094.0

#uk
07-24-2015,15:06,48806.0,112692.0,43195.0,112692.0,0.0,112692.0,0.0,112692.0

#jp
07-24-2015,15:06,0.0,27560.0,24489.0,27560.0,0.0,27560.0,0.0,27560.0

#hk
07-24-2015,15:06,0.0,26816.0,17181.0,26816.0,0.0,26816.0,0.0,26816.0

#to
07-24-2015,15:06,93866.0,226705.0,99857.0,226705.0,0.0,226705.0,0.0,226705.0

#at
07-24-2015,15:06,0.0,5959.0,3326.0,5959.0,0.0,5959.0,0.0,5959.0




#Sites
#Date, Time, T1_used, T1_total,T3_used, T3_total,T3B_used, T3B_total,T4_used, T4_total

#ICE
07-24-2015,15:06,254080.0,508779.0,154088.0,508779.0,0.0,508779.0,0.0,508779.0

#SWIP
07-24-2015,15:06,170510.0,411780.0,165425.0,411780.0,0.0,411780.0,0.0,411780.0

#IT
07-24-2015,15:06,143059.0,600770.0,243434.0,600770.0,0.0,600770.0,0.0,600770.0

#WWOE
07-24-2015,15:06,27487.0,30514.0,0.0,30514.0,0.0,30514.0,0.0,30514.0

#Departments
#Date, Time, T1_used, T1_total,T3_used, T3_total,T3B_used, T3B_total,T4_used, T4_total
#SJ
07-24-2015,15:07,755256.9856,3741708.1776,1133546.5824,3741708.1776,226016.2912,3741708.1776,125120.0,3741708.1776

#pg
07-24-2015,15:07,533071.968,3565148.1888,953881.5696,3565148.1888,50364.872,3565148.1888,151835.0,3565148.1888

#nl
07-24-2015,15:07,15566.0,33094.0,7615.0,33094.0,0.0,33094.0,0.0,33094.0

#uk
07-24-2015,15:07,48806.0,112692.0,43195.0,112692.0,0.0,112692.0,0.0,112692.0

#jp
07-24-2015,15:07,0.0,27560.0,24489.0,27560.0,0.0,27560.0,0.0,27560.0

#hk
07-24-2015,15:07,0.0,26816.0,17181.0,26816.0,0.0,26816.0,0.0,26816.0

#to
07-24-2015,15:07,93866.0,226705.0,99857.0,226705.0,0.0,226705.0,0.0,226705.0

#at
07-24-2015,15:07,0.0,5959.0,3326.0,5959.0,0.0,5959.0,0.0,5959.0




#Sites
#Date, Time, T1_used, T1_total,T3_used, T3_total,T3B_used, T3B_total,T4_used, T4_total

#ICE
07-24-2015,15:07,254080.0,508779.0,154088.0,508779.0,0.0,508779.0,0.0,508779.0

#SWIP
07-24-2015,15:07,170510.0,411780.0,165425.0,411780.0,0.0,411780.0,0.0,411780.0

#IT
07-24-2015,15:07,143059.0,600770.0,243434.0,600770.0,0.0,600770.0,0.0,600770.0

#WWOE
07-24-2015,15:07,27487.0,30514.0,0.0,30514.0,0.0,30514.0,0.0,30514.0

#Departments
#Date, Time, T1_used, T1_total,T3_used, T3_total,T3B_used, T3B_total,T4_used, T4_total
#SJ
07-24-2015,15:07,755256.9856,3741708.1776,1133546.5824,3741708.1776,226016.2912,3741708.1776,125120.0,3741708.1776

#pg
07-24-2015,15:07,533071.968,3565148.1888,953881.5696,3565148.1888,50364.872,3565148.1888,151835.0,3565148.1888

#nl
07-24-2015,15:07,15566.0,33094.0,7615.0,33094.0,0.0,33094.0,0.0,33094.0

#uk
07-24-2015,15:07,48806.0,112692.0,43195.0,112692.0,0.0,112692.0,0.0,112692.0

#jp
07-24-2015,15:07,0.0,27560.0,24489.0,27560.0,0.0,27560.0,0.0,27560.0

#hk
07-24-2015,15:07,0.0,26816.0,17181.0,26816.0,0.0,26816.0,0.0,26816.0

#to
07-24-2015,15:07,93866.0,226705.0,99857.0,226705.0,0.0,226705.0,0.0,226705.0

#at
07-24-2015,15:07,0.0,5959.0,3326.0,5959.0,0.0,5959.0,0.0,5959.0




#Sites
#Date, Time, T1_used, T1_total,T3_used, T3_total,T3B_used, T3B_total,T4_used, T4_total

#ICE
07-24-2015,15:07,254080.0,508779.0,154088.0,508779.0,0.0,508779.0,0.0,508779.0

#SWIP
07-24-2015,15:07,170510.0,411780.0,165425.0,411780.0,0.0,411780.0,0.0,411780.0

#IT
07-24-2015,15:07,143059.0,600770.0,243434.0,600770.0,0.0,600770.0,0.0,600770.0

#WWOE
07-24-2015,15:07,27487.0,30514.0,0.0,30514.0,0.0,30514.0,0.0,30514.0

#Departments
#Date, Time, T1_used, T1_total,T3_used, T3_total,T3B_used, T3B_total,T4_used, T4_total
#SJ
07-24-2015,15:09,755256.9856,3741708.1776,1133546.5824,3741708.1776,226016.2912,3741708.1776,125120.0,3741708.1776

#pg
07-24-2015,15:09,533071.968,3565148.1888,953881.5696,3565148.1888,50364.872,3565148.1888,151835.0,3565148.1888

#nl
