#Date,Time,Vendor,Site,Dept,filer,T1_GB,T3_GB,T3B_GB,T4_GB,aggr,total,used,avail 

2015-07-21,17:25,netapp,sj,itcrncnas01,sj-itcrncnas01,251,0,0,0,aggr0_sj_itcrncnas01_01,367,251,115
2015-07-21,17:25,netapp,sj,itcrncnas01,sj-itcrncnas01,251,0,0,0,aggr0_sj_itcrncnas01_02,367,251,115
2015-07-21,17:25,netapp,sj,itcrncnas01,sj-itcrncnas01,34329,0,0,0,n01_450_sas_01,51431,34329,17101
2015-07-21,17:25,netapp,sj,itcrncnas01,sj-itcrncnas01,0,0,0,0,n01_sas_450_sap_01,7714,0,7714
2015-07-21,17:25,netapp,sj,itcrncnas01,sj-itcrncnas01,0,74976,0,0,n01_sata_1000_01,93857,74976,18881
2015-07-21,17:25,netapp,sj,itcrncnas01,sj-itcrncnas01,34989,0,0,0,n02_600_sas_01,82684,34989,47695
2015-07-21,17:25,netapp,sj,itcrncnas01,sj-itcrncnas01,0,63547,0,0,n02_sata_1000_01,93857,63547,30310
2015-07-21,17:25,netapp,sj,itcrncnas01,sj-itcrncnas01,0,31865,0,0,n02_sata_1000_02,67041,31865,35175
2015-07-21,17:25,netapp,sj,itdrncnas01,sj-itdrncnas01,0,0,502,0,aggr0_sj_itdrncnas01_01,1490,502,987
2015-07-21,17:25,netapp,sj,itdrncnas01,sj-itdrncnas01,0,144,0,0,n01_sata_1000_01,53633,144,53488
2015-07-21,17:25,netapp,sj,itdrncnas01,sj-itdrncnas01,0,66027,0,0,n01_sata_2000_01,134112,66027,68084
2015-07-21,17:25,netapp,sj,itencnas01,sj-itencnas01,301,0,0,0,aggr0_sj_itencnas01_01,492,301,190
2015-07-21,17:25,netapp,sj,itencnas01,sj-itencnas01,301,0,0,0,aggr0_sj_itencnas01_02,492,301,190
2015-07-21,17:25,netapp,sj,itencnas01,sj-itencnas01,502,0,0,0,aggr0_sj_itencnas01_03,1490,502,987
2015-07-21,17:25,netapp,sj,itencnas01,sj-itencnas01,502,0,0,0,aggr0_sj_itencnas01_04,1490,502,987
2015-07-21,17:25,netapp,sj,itencnas01,sj-itencnas01,502,0,0,0,aggr0_sj_itencnas01_05,1004,502,501
2015-07-21,17:25,netapp,sj,itencnas01,sj-itencnas01,502,0,0,0,aggr0_sj_itencnas01_06,1004,502,501
2015-07-21,17:25,netapp,sj,itencnas01,sj-itencnas01,11715,0,0,0,n01_sas_600_01,16733,11715,5018
2015-07-21,17:25,netapp,sj,itencnas01,sj-itencnas01,0,18464,0,0,n01_sata_1000_01,26816,18464,8352
2015-07-21,17:25,netapp,sj,itencnas01,sj-itencnas01,30194,0,0,0,n02_sas_450_01,38573,30194,8378
2015-07-21,17:25,netapp,sj,itencnas01,sj-itencnas01,29469,0,0,0,n02_sas_900_01,31634,29469,2164
2015-07-21,17:25,netapp,sj,itencnas01,sj-itencnas01,0,0,0,73451,n03_arch_sata_2000_01,87918,73451,14466
2015-07-21,17:25,netapp,sj,itencnas01,sj-itencnas01,0,0,0,0,n03_arch_sata_4000_01,60240,0,60240
2015-07-21,17:25,netapp,sj,itencnas01,sj-itencnas01,0,0,0,51669,n04_arch_sata_2000_01,87918,51669,36248
2015-07-21,17:25,netapp,sj,itencnas01,sj-itencnas01,0,0,0,0,n04_icearch_sata_4000_01,200801,0,200801
2015-07-21,17:25,netapp,sj,itencnas01,sj-itencnas01,1,0,0,0,n05_ice_sas_1200_01,17068,1,17067
2015-07-21,17:25,netapp,sj,itencnas01,sj-itencnas01,0,0,0,0,n05_loaner_sas_01,172688,0,172688
2015-07-21,17:25,netapp,sj,itencnas01,sj-itencnas01,0,0,0,0,n06_ice_sas_1200_01,17068,0,17068
2015-07-21,17:25,netapp,sj,itencnas01,sj-itencnas01,0,0,0,0,n06_loaner_sata_01,238730,0,238730
2015-07-21,17:25,netapp,pg,itencnas01,pg-itencnas01,301,0,0,0,aggr0_pg_itencnas01_01,492,301,190
2015-07-21,17:25,netapp,pg,itencnas01,pg-itencnas01,301,0,0,0,aggr0_pg_itencnas01_02,1102,301,800
2015-07-21,17:25,netapp,pg,itencnas01,pg-itencnas01,301,0,0,0,aggr0_pg_itencnas01_03,1490,301,1188
2015-07-21,17:25,netapp,pg,itencnas01,pg-itencnas01,301,0,0,0,aggr0_pg_itencnas01_04,1490,301,1188
2015-07-21,17:25,netapp,pg,itencnas01,pg-itencnas01,301,0,0,0,aggr0_pg_itencnas01_05,1004,301,702
2015-07-21,17:25,netapp,pg,itencnas01,pg-itencnas01,301,0,0,0,aggr0_pg_itencnas01_06,1004,301,702
2015-07-21,17:25,netapp,pg,itencnas01,pg-itencnas01,11996,0,0,0,n01_sas_450_01,29389,11996,17392
2015-07-21,17:25,netapp,pg,itencnas01,pg-itencnas01,13048,0,0,0,n01_sas_600_01,18702,13048,5653
2015-07-21,17:25,netapp,pg,itencnas01,pg-itencnas01,0,15780,0,0,n01_sata_1000_01,40224,15780,24444
2015-07-21,17:25,netapp,pg,itencnas01,pg-itencnas01,36620,0,0,0,n02_sas_450_01,51431,36620,14810
2015-07-21,17:25,netapp,pg,itencnas01,pg-itencnas01,0,0,0,73862,n03_arch_sata_2000_01,87918,73862,14055
2015-07-21,17:25,netapp,pg,itencnas01,pg-itencnas01,0,0,0,0,n03_arch_sata_4000_01,60240,0,60240
2015-07-21,17:25,netapp,pg,itencnas01,pg-itencnas01,0,0,0,77973,n04_arch_sata_2000_01,87918,77973,9944
