#Date,Time,Vendor,Site,Dept,filer,T1,T3,T3B,T4,aggr,total,used,avail 

2015-07-06,11:33,netapp,sj,itcrncnas01,sj-itcrncnas01,251GB,0,0,0,aggr0_sj_itcrncnas01_01,367GB,251GB,115GB
2015-07-06,11:33,netapp,sj,itcrncnas01,sj-itcrncnas01,251GB,0,0,0,aggr0_sj_itcrncnas01_02,367GB,251GB,115GB
2015-07-06,11:33,netapp,sj,itcrncnas01,sj-itcrncnas01,34329GB,0,0,0,n01_450_sas_01,51431GB,34329GB,17101GB
2015-07-06,11:33,netapp,sj,itcrncnas01,sj-itcrncnas01,0GB,0,0,0,n01_sas_450_sap_01,7714GB,0GB,7714GB
2015-07-06,11:33,netapp,sj,itcrncnas01,sj-itcrncnas01,0,74976GB,0,0,n01_sata_1000_01,93857GB,74976GB,18881GB
2015-07-06,11:33,netapp,sj,itcrncnas01,sj-itcrncnas01,34989GB,0,0,0,n02_600_sas_01,82684GB,34989GB,47695GB
2015-07-06,11:33,netapp,sj,itcrncnas01,sj-itcrncnas01,0,63547GB,0,0,n02_sata_1000_01,93857GB,63547GB,30310GB
2015-07-06,11:33,netapp,sj,itcrncnas01,sj-itcrncnas01,0,31865GB,0,0,n02_sata_1000_02,67041GB,31865GB,35175GB
2015-07-06,11:33,netapp,sj,itdrncnas01,sj-itdrncnas01,0,0,502GB,0,aggr0_sj_itdrncnas01_01,1490GB,502GB,987GB
2015-07-06,11:33,netapp,sj,itdrncnas01,sj-itdrncnas01,0,144GB,0,0,n01_sata_1000_01,53633GB,144GB,53488GB
2015-07-06,11:33,netapp,sj,itdrncnas01,sj-itdrncnas01,0,66027GB,0,0,n01_sata_2000_01,134112GB,66027GB,68084GB
2015-07-06,11:33,netapp,sj,itencnas01,sj-itencnas01,301GB,0,0,0,aggr0_sj_itencnas01_01,492GB,301GB,190GB
2015-07-06,11:33,netapp,sj,itencnas01,sj-itencnas01,301GB,0,0,0,aggr0_sj_itencnas01_02,492GB,301GB,190GB
2015-07-06,11:33,netapp,sj,itencnas01,sj-itencnas01,502GB,0,0,0,aggr0_sj_itencnas01_03,1490GB,502GB,987GB
2015-07-06,11:33,netapp,sj,itencnas01,sj-itencnas01,502GB,0,0,0,aggr0_sj_itencnas01_04,1490GB,502GB,987GB
2015-07-06,11:33,netapp,sj,itencnas01,sj-itencnas01,502GB,0,0,0,aggr0_sj_itencnas01_05,1004GB,502GB,501GB
2015-07-06,11:33,netapp,sj,itencnas01,sj-itencnas01,502GB,0,0,0,aggr0_sj_itencnas01_06,1004GB,502GB,501GB
2015-07-06,11:33,netapp,sj,itencnas01,sj-itencnas01,11715GB,0,0,0,n01_sas_600_01,16733GB,11715GB,5018GB
2015-07-06,11:33,netapp,sj,itencnas01,sj-itencnas01,0,18464GB,0,0,n01_sata_1000_01,26816GB,18464GB,8352GB
2015-07-06,11:33,netapp,sj,itencnas01,sj-itencnas01,30194GB,0,0,0,n02_sas_450_01,38573GB,30194GB,8378GB
2015-07-06,11:33,netapp,sj,itencnas01,sj-itencnas01,29469GB,0,0,0,n02_sas_900_01,31634GB,29469GB,2164GB
