+------+-------+----------------+----------+----------+-------------------------+----------+----------+----------+-----+
| Site |  Dept |     filer      |    T1    |    T3    |           aggr          |  total   |   used   |  avail   | Pct |
+------+-------+----------------+----------+----------+-------------------------+----------+----------+----------+-----+
| sj   | itcrn | sj-itcrncnas01 |  251GB   |    0     | aggr0_sj_itcrncnas01_01 |  367GB   |  251GB   |  115GB   | 68% |
| sj   | itcrn | sj-itcrncnas01 |  251GB   |    0     | aggr0_sj_itcrncnas01_02 |  367GB   |  251GB   |  115GB   | 68% |
| sj   | itcrn | sj-itcrncnas01 | 34327GB  |    0     |      n01_450_sas_01     | 51431GB  | 34327GB  | 17103GB  | 67% |
| sj   | itcrn | sj-itcrncnas01 |   0GB    |    0     |    n01_sas_450_sap_01   |  7714GB  |   0GB    |  7714GB  |  0% |
| sj   | itcrn | sj-itcrncnas01 |    0     | 74975GB  |     n01_sata_1000_01    | 93857GB  | 74975GB  | 18881GB  | 80% |
| sj   | itcrn | sj-itcrncnas01 | 34988GB  |    0     |      n02_600_sas_01     | 82684GB  | 34988GB  | 47695GB  | 42% |
| sj   | itcrn | sj-itcrncnas01 |    0     | 63547GB  |     n02_sata_1000_01    | 93857GB  | 63547GB  | 30310GB  | 68% |
| sj   | itcrn | sj-itcrncnas01 |    0     | 31874GB  |     n02_sata_1000_02    | 67041GB  | 31874GB  | 35167GB  | 48% |
| sj   | itdrn | sj-itdrncnas01 |  502GB   |    0     | aggr0_sj_itdrncnas01_01 |  1490GB  |  502GB   |  987GB   | 34% |
| sj   | itdrn | sj-itdrncnas01 |    0     |   10GB   |     n01_sata_1000_01    | 53633GB  |   10GB   | 53622GB  |  0% |
| sj   | itdrn | sj-itdrncnas01 |    0     | 64809GB  |     n01_sata_2000_01    | 134112GB | 64809GB  | 69303GB  | 48% |
| sj   | itenc | sj-itencnas01  |  301GB   |    0     |  aggr0_sj_itencnas01_01 |  492GB   |  301GB   |  190GB   | 61% |
| sj   | itenc | sj-itencnas01  |  301GB   |    0     |  aggr0_sj_itencnas01_02 |  492GB   |  301GB   |  190GB   | 61% |
| sj   | itenc | sj-itencnas01  |  502GB   |    0     |  aggr0_sj_itencnas01_03 |  1490GB  |  502GB   |  987GB   | 34% |
| sj   | itenc | sj-itencnas01  |  502GB   |    0     |  aggr0_sj_itencnas01_04 |  1490GB  |  502GB   |  987GB   | 34% |
| sj   | itenc | sj-itencnas01  |  502GB   |    0     |  aggr0_sj_itencnas01_05 |  1004GB  |  502GB   |  501GB   | 50% |
| sj   | itenc | sj-itencnas01  |  502GB   |    0     |  aggr0_sj_itencnas01_06 |  1004GB  |  502GB   |  501GB   | 50% |
| sj   | itenc | sj-itencnas01  | 11778GB  |    0     |      n01_sas_600_01     | 16733GB  | 11778GB  |  4955GB  | 70% |
| sj   | itenc | sj-itencnas01  |    0     | 18466GB  |     n01_sata_1000_01    | 26816GB  | 18466GB  |  8349GB  | 69% |
| sj   | itenc | sj-itencnas01  | 11862GB  |    0     |      n02_sas_450_01     | 38573GB  | 11862GB  | 26711GB  | 31% |
| sj   | itenc | sj-itencnas01  | 29376GB  |    0     |      n02_sas_900_01     | 31634GB  | 29376GB  |  2258GB  | 93% |
| sj   | itenc | sj-itencnas01  |    0     |   0GB    |  n03_arch_sata_4000_01  | 60240GB  |   0GB    | 60240GB  |  0% |
